point_a;point_b;distance;time;type;route;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Калининград-Пассажирский (Южный вокзал);Костёл Святого Адальберта;9 км;1 ч 52 мин.;Пеший;Калининград-Пассажирский (Южный вокзал);Макдоналдс;"Равелин ""Хаберберг""";Памятный знак Героям-комсомольцам, погибшим при штурме Кёнигсберга;"Равелин ""Фридланд""";Bar Bastion;"Таверна ""Берлога""";Дом смотрителя Высокого моста;Высокий мост;Памятник Сому;Юбилейный мост;Рыбная Деревня;Юбилейный мост;Рыбный клуб;Магия кофе;Верфь;Мадам Буше;Видовая башня Маяк;Новая Синагога;Деревянный мост;Памятный знак морякам-балтийцам;Медовый мост;Могила Иммануила Канта;Кафедральный собор;Сквер на Московском проспекте;Кафедральный собор;Музей Мирового океана;Тетка Фишер;Поварёшка;Чайхана Калининград-Ташкент;Мать-Россия;Zötler Bier;Площадь Победы;Mакдоналдс МакАвто;Северный вокзал;Площадь Победы;Паб Британника;"Башня ""Врангеля""";Амплитуда;Фьюжн Экспресс;"Детская площадка ""Пиратский корабль""";Юность;Белый мост;Фитнес-клуб с бассейном Обертайх;Бюст Эрнста Тельмана;Дворик;Костёл Святого Адальберта;
Костёл Святого Адальберта;Калининград-Пассажирский (Южный вокзал);9 км;1 ч 52 мин.;Пеший;Костёл Святого Адальберта;Дворик;Бюст Эрнста Тельмана;Фитнес-клуб с бассейном Обертайх;Белый мост;Юность;"Детская площадка ""Пиратский корабль""";Фьюжн Экспресс;Амплитуда;"Башня ""Врангеля""";Паб Британника;Площадь Победы;Северный вокзал;Mакдоналдс МакАвто;Площадь Победы;Zötler Bier;Мать-Россия;Чайхана Калининград-Ташкент;Поварёшка;Тетка Фишер;Музей Мирового океана;Кафедральный собор;Сквер на Московском проспекте;Кафедральный собор;Могила Иммануила Канта;Медовый мост;Памятный знак морякам-балтийцам;Деревянный мост;Новая Синагога;Видовая башня Маяк;Мадам Буше;Верфь;Магия кофе;Рыбный клуб;Юбилейный мост;Рыбная Деревня;Юбилейный мост;Памятник Сому;Высокий мост;Дом смотрителя Высокого моста;"Таверна ""Берлога""";Bar Bastion;"Равелин ""Фридланд""";Памятный знак Героям-комсомольцам, погибшим при штурме Кёнигсберга;"Равелин ""Хаберберг""";Макдоналдс;Калининград-Пассажирский (Южный вокзал);
Форт № 11 «Дёнхофф»;Калининград-Пассажирский (Южный вокзал);6.9 км;1 ч 25 мин.;Пеший;Форт № 11 «Дёнхофф»;"Пейнтбол & Лазертаг клуб ""Штурм""";Meat House / Шенфлиз;"Фитнес-центр ""Атлетика""";Блин Ланч;Суши КИМ;Парк Южный;"Равелин ""Фридланд""";Памятный знак Героям-комсомольцам, погибшим при штурме Кёнигсберга;"Равелин ""Хаберберг""";Калининград-Пассажирский (Южный вокзал);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Калининград-Пассажирский (Южный вокзал);Форт № 11 «Дёнхофф»;6.9 км;1 ч 25 мин.;Пеший;Калининград-Пассажирский (Южный вокзал);"Равелин ""Хаберберг""";Памятный знак Героям-комсомольцам, погибшим при штурме Кёнигсберга;"Равелин ""Фридланд""";Парк Южный;Суши КИМ;Блин Ланч;"Фитнес-центр ""Атлетика""";Meat House / Шенфлиз;"Пейнтбол & Лазертаг клуб ""Штурм""";Форт № 11 «Дёнхофф»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Форт № 11 «Дёнхофф»;Рыбная Деревня;6.3 км;1 ч 17 мин.;Пеший;Форт № 11 «Дёнхофф»;"Пейнтбол & Лазертаг клуб ""Штурм""";Meat House / Шенфлиз;"Фитнес-центр ""Атлетика""";Блин Ланч;Суши КИМ;Парк Южный;"Таверна ""Берлога""";Дом смотрителя Высокого моста;Высокий мост;Памятник Сому;Юбилейный мост;Рыбная Деревня;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рыбная Деревня;Форт № 11 «Дёнхофф»;6.3 км;1 ч 17 мин.;Пеший;Рыбная Деревня;Юбилейный мост;Памятник Сому;Высокий мост;Дом смотрителя Высокого моста;"Таверна ""Берлога""";Парк Южный;Суши КИМ;Блин Ланч;"Фитнес-центр ""Атлетика""";Meat House / Шенфлиз;"Пейнтбол & Лазертаг клуб ""Штурм""";Форт № 11 «Дёнхофф»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Форт № 11 «Дёнхофф»;Северный вокзал;9.2 км;1 ч 53 мин.;Пеший;Форт № 11 «Дёнхофф»;"Пейнтбол & Лазертаг клуб ""Штурм""";Meat House / Шенфлиз;"Фитнес-центр ""Атлетика""";Блин Ланч;Суши КИМ;Парк Южный;"Таверна ""Берлога""";Дом смотрителя Высокого моста;Высокий мост;Памятник Сому;Юбилейный мост;Рыбная Деревня;Юбилейный мост;Рыбный клуб;Магия кофе;Верфь;Мадам Буше;Видовая башня Маяк;Новая Синагога;Деревянный мост;Памятный знак морякам-балтийцам;Медовый мост;Могила Иммануила Канта;Кафедральный собор;Сквер на Московском проспекте;Кафедральный собор;Музей Мирового океана;Тетка Фишер;Поварёшка;Чайхана Калининград-Ташкент;Мать-Россия;Zötler Bier;Площадь Победы;Mакдоналдс МакАвто;Северный вокзал;;;;;;;;;;;;
Северный вокзал;Форт № 11 «Дёнхофф»;9.2 км;1 ч 53 мин.;Пеший;Северный вокзал;Mакдоналдс МакАвто;Площадь Победы;Zötler Bier;Мать-Россия;Чайхана Калининград-Ташкент;Поварёшка;Тетка Фишер;Музей Мирового океана;Кафедральный собор;Сквер на Московском проспекте;Кафедральный собор;Могила Иммануила Канта;Медовый мост;Памятный знак морякам-балтийцам;Деревянный мост;Новая Синагога;Видовая башня Маяк;Мадам Буше;Верфь;Магия кофе;Рыбный клуб;Юбилейный мост;Рыбная Деревня;Юбилейный мост;Памятник Сому;Высокий мост;Дом смотрителя Высокого моста;"Таверна ""Берлога""";Парк Южный;Суши КИМ;Блин Ланч;"Фитнес-центр ""Атлетика""";Meat House / Шенфлиз;"Пейнтбол & Лазертаг клуб ""Штурм""";Форт № 11 «Дёнхофф»;;;;;;;;;;;;
Форт № 11 «Дёнхофф»;Костёл Святого Адальберта;12.7 км;2 ч 37 мин.;Пеший;Форт № 11 «Дёнхофф»;"Пейнтбол & Лазертаг клуб ""Штурм""";Meat House / Шенфлиз;"Фитнес-центр ""Атлетика""";Блин Ланч;Суши КИМ;Парк Южный;"Таверна ""Берлога""";Дом смотрителя Высокого моста;Высокий мост;Памятник Сому;Юбилейный мост;Рыбная Деревня;Юбилейный мост;Рыбный клуб;Магия кофе;Верфь;Мадам Буше;Видовая башня Маяк;Новая Синагога;Деревянный мост;Памятный знак морякам-балтийцам;Медовый мост;Могила Иммануила Канта;Кафедральный собор;Сквер на Московском проспекте;Кафедральный собор;Музей Мирового океана;Тетка Фишер;Поварёшка;Чайхана Калининград-Ташкент;Мать-Россия;Zötler Bier;Площадь Победы;Mакдоналдс МакАвто;Северный вокзал;Площадь Победы;Паб Британника;"Башня ""Врангеля""";Амплитуда;Фьюжн Экспресс;"Детская площадка ""Пиратский корабль""";Юность;Белый мост;Фитнес-клуб с бассейном Обертайх;Бюст Эрнста Тельмана;Дворик;Костёл Святого Адальберта
Костёл Святого Адальберта;Форт № 11 «Дёнхофф»;12.7 км;2 ч 37 мин.;Пеший;Костёл Святого Адальберта;Дворик;Бюст Эрнста Тельмана;Фитнес-клуб с бассейном Обертайх;Белый мост;Юность;"Детская площадка ""Пиратский корабль""";Фьюжн Экспресс;Амплитуда;"Башня ""Врангеля""";Паб Британника;Площадь Победы;Северный вокзал;Mакдоналдс МакАвто;Площадь Победы;Zötler Bier;Мать-Россия;Чайхана Калининград-Ташкент;Поварёшка;Тетка Фишер;Музей Мирового океана;Кафедральный собор;Сквер на Московском проспекте;Кафедральный собор;Могила Иммануила Канта;Медовый мост;Памятный знак морякам-балтийцам;Деревянный мост;Новая Синагога;Видовая башня Маяк;Мадам Буше;Верфь;Магия кофе;Рыбный клуб;Юбилейный мост;Рыбная Деревня;Юбилейный мост;Памятник Сому;Высокий мост;Дом смотрителя Высокого моста;"Таверна ""Берлога""";Парк Южный;Суши КИМ;Блин Ланч;"Фитнес-центр ""Атлетика""";Meat House / Шенфлиз;"Пейнтбол & Лазертаг клуб ""Штурм""";Форт № 11 «Дёнхофф»
Рыбная Деревня;Северный вокзал;2.9 км;19 мин.;Велосипед;Рыбная Деревня;Юбилейный мост;Рыбный клуб;Магия кофе;Верфь;Мадам Буше;Видовая башня Маяк;Новая Синагога;Деревянный мост;Памятный знак морякам-балтийцам;Медовый мост;Могила Иммануила Канта;Кафедральный собор;Сквер на Московском проспекте;Кафедральный собор;Музей Мирового океана;Тетка Фишер;Поварёшка;Чайхана Калининград-Ташкент;Мать-Россия;Zötler Bier;Площадь Победы;Mакдоналдс МакАвто;Северный вокзал;;;;;;;;;;;;;;;;;;;;;;;;
Северный вокзал;Рыбная Деревня;2.9 км;19 мин.;Велосипед;Северный вокзал;Mакдоналдс МакАвто;Площадь Победы;Zötler Bier;Мать-Россия;Чайхана Калининград-Ташкент;Поварёшка;Тетка Фишер;Музей Мирового океана;Кафедральный собор;Сквер на Московском проспекте;Кафедральный собор;Могила Иммануила Канта;Медовый мост;Памятный знак морякам-балтийцам;Деревянный мост;Новая Синагога;Видовая башня Маяк;Мадам Буше;Верфь;Магия кофе;Рыбный клуб;Юбилейный мост;Рыбная Деревня;;;;;;;;;;;;;;;;;;;;;;;;
Костёл Святого Адальберта;Северный вокзал;3.5 км;22 мин.;Велосипед;Костёл Святого Адальберта;Дворик;Бюст Эрнста Тельмана;Фитнес-клуб с бассейном Обертайх;Белый мост;Юность;"Детская площадка ""Пиратский корабль""";Фьюжн Экспресс;Амплитуда;"Башня ""Врангеля""";Паб Британника;Площадь Победы;Северный вокзал;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Северный вокзал;Костёл Святого Адальберта;3.5 км;22 мин.;Велосипед;Северный вокзал;Площадь Победы;Паб Британника;"Башня ""Врангеля""";Амплитуда;Фьюжн Экспресс;"Детская площадка ""Пиратский корабль""";Юность;Белый мост;Фитнес-клуб с бассейном Обертайх;Бюст Эрнста Тельмана;Дворик;Костёл Святого Адальберта;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Костёл Святого Адальберта;Рыбная Деревня;6.4 км;39 мин.;Велосипед;Костёл Святого Адальберта;Дворик;Бюст Эрнста Тельмана;Фитнес-клуб с бассейном Обертайх;Белый мост;Юность;"Детская площадка ""Пиратский корабль""";Фьюжн Экспресс;Амплитуда;"Башня ""Врангеля""";Паб Британника;Площадь Победы;Северный вокзал;Mакдоналдс МакАвто;Площадь Победы;Zötler Bier;Мать-Россия;Чайхана Калининград-Ташкент;Поварёшка;Тетка Фишер;Музей Мирового океана;Кафедральный собор;Сквер на Московском проспекте;Кафедральный собор;;;;;;;;;;;;;;;;;;;;;;;;
Рыбная Деревня;Костёл Святого Адальберта;6.4 км;39 мин.;Велосипед;Рыбная Деревня;Юбилейный мост;Рыбный клуб;Магия кофе;Верфь;Мадам Буше;Видовая башня Маяк;Новая Синагога;Деревянный мост;Памятный знак морякам-балтийцам;Медовый мост;Могила Иммануила Канта;Кафедральный собор;Сквер на Московском проспекте;Кафедральный собор;Музей Мирового океана;Тетка Фишер;Поварёшка;Чайхана Калининград-Ташкент;Мать-Россия;Zötler Bier;Площадь Победы;Mакдоналдс МакАвто;Северный вокзал;;;;;;;;;;;;;;;;;;;;;;;;
Калининград-Пассажирский (Южный вокзал);Рыбная Деревня;2.6 км;16 мин.;Велосипед;Калининград-Пассажирский (Южный вокзал);Макдоналдс;"Равелин ""Хаберберг""";Памятный знак Героям-комсомольцам, погибшим при штурме Кёнигсберга;"Равелин ""Фридланд""";Bar Bastion;"Таверна ""Берлога""";Дом смотрителя Высокого моста;Высокий мост;Памятник Сому;Юбилейный мост;Рыбная Деревня;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рыбная Деревня;Калининград-Пассажирский (Южный вокзал);2.6 км;16 мин.;Велосипед;Рыбная Деревня;Юбилейный мост;Памятник Сому;Высокий мост;Дом смотрителя Высокого моста;"Таверна ""Берлога""";Bar Bastion;"Равелин ""Фридланд""";Памятный знак Героям-комсомольцам, погибшим при штурме Кёнигсберга;"Равелин ""Хаберберг""";Макдоналдс;Калининград-Пассажирский (Южный вокзал);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Калининград-Пассажирский (Южный вокзал);Северный вокзал;5.4 км;37 мин.;Велосипед;Калининград-Пассажирский (Южный вокзал);Макдоналдс;"Равелин ""Хаберберг""";Памятный знак Героям-комсомольцам, погибшим при штурме Кёнигсберга;"Равелин ""Фридланд""";Bar Bastion;"Таверна ""Берлога""";Дом смотрителя Высокого моста;Высокий мост;Памятник Сому;Юбилейный мост;Рыбная Деревня;Юбилейный мост;Рыбный клуб;Магия кофе;Верфь;Мадам Буше;Видовая башня Маяк;Новая Синагога;Деревянный мост;Памятный знак морякам-балтийцам;Медовый мост;Могила Иммануила Канта;Кафедральный собор;;;;;;;;;;;;;;;;;;;;;;;;
Северный вокзал;Калининград-Пассажирский (Южный вокзал);5.4 км;37 мин.;Велосипед;Северный вокзал;Mакдоналдс МакАвто;Площадь Победы;Zötler Bier;Мать-Россия;Чайхана Калининград-Ташкент;Поварёшка;Тетка Фишер;Музей Мирового океана;Кафедральный собор;Сквер на Московском проспекте;Кафедральный собор;Могила Иммануила Канта;Медовый мост;Памятный знак морякам-балтийцам;Деревянный мост;Новая Синагога;Видовая башня Маяк;Мадам Буше;Верфь;Магия кофе;Рыбный клуб;Юбилейный мост;Рыбная Деревня;;;;;;;;;;;;;;;;;;;;;;;;
Калининград-Пассажирский (Южный вокзал);Костёл Святого Адальберта;9 км;56 мин.;Велосипед;Калининград-Пассажирский (Южный вокзал);Макдоналдс;"Равелин ""Хаберберг""";Памятный знак Героям-комсомольцам, погибшим при штурме Кёнигсберга;"Равелин ""Фридланд""";Bar Bastion;"Таверна ""Берлога""";Дом смотрителя Высокого моста;Высокий мост;Памятник Сому;Юбилейный мост;Рыбная Деревня;Юбилейный мост;Рыбный клуб;Магия кофе;Верфь;Мадам Буше;Видовая башня Маяк;Новая Синагога;Деревянный мост;Памятный знак морякам-балтийцам;Медовый мост;Могила Иммануила Канта;Кафедральный собор;;;;;;;;;;;;;;;;;;;;;;;;
Костёл Святого Адальберта;Калининград-Пассажирский (Южный вокзал);9 км;56 мин.;Велосипед;Костёл Святого Адальберта;Дворик;Бюст Эрнста Тельмана;Фитнес-клуб с бассейном Обертайх;Белый мост;Юность;"Детская площадка ""Пиратский корабль""";Фьюжн Экспресс;Амплитуда;"Башня ""Врангеля""";Паб Британника;Площадь Победы;Северный вокзал;Mакдоналдс МакАвто;Площадь Победы;Zötler Bier;Мать-Россия;Чайхана Калининград-Ташкент;Поварёшка;Тетка Фишер;Музей Мирового океана;Кафедральный собор;Сквер на Московском проспекте;Кафедральный собор;;;;;;;;;;;;;;;;;;;;;;;;
Форт № 11 «Дёнхофф»;Калининград-Пассажирский (Южный вокзал);6.9 км;42 мин.;Велосипед;Форт № 11 «Дёнхофф»;"Пейнтбол & Лазертаг клуб ""Штурм""";Meat House / Шенфлиз;"Фитнес-центр ""Атлетика""";Блин Ланч;Суши КИМ;Парк Южный;"Равелин ""Фридланд""";Памятный знак Героям-комсомольцам, погибшим при штурме Кёнигсберга;"Равелин ""Хаберберг""";Калининград-Пассажирский (Южный вокзал);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Калининград-Пассажирский (Южный вокзал);Форт № 11 «Дёнхофф»;6.9 км;42 мин.;Велосипед;Калининград-Пассажирский (Южный вокзал);"Равелин ""Хаберберг""";Памятный знак Героям-комсомольцам, погибшим при штурме Кёнигсберга;"Равелин ""Фридланд""";Парк Южный;Суши КИМ;Блин Ланч;"Фитнес-центр ""Атлетика""";Meat House / Шенфлиз;"Пейнтбол & Лазертаг клуб ""Штурм""";Форт № 11 «Дёнхофф»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Форт № 11 «Дёнхофф»;Рыбная Деревня;6.3 км;36 мин.;Велосипед;Форт № 11 «Дёнхофф»;"Пейнтбол & Лазертаг клуб ""Штурм""";Meat House / Шенфлиз;"Фитнес-центр ""Атлетика""";Блин Ланч;Суши КИМ;Парк Южный;"Таверна ""Берлога""";Дом смотрителя Высокого моста;Высокий мост;Памятник Сому;Юбилейный мост;Рыбная Деревня;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рыбная Деревня;Форт № 11 «Дёнхофф»;6.3 км;36 мин.;Велосипед;Рыбная Деревня;Юбилейный мост;Памятник Сому;Высокий мост;Дом смотрителя Высокого моста;"Таверна ""Берлога""";Парк Южный;Суши КИМ;Блин Ланч;"Фитнес-центр ""Атлетика""";Meat House / Шенфлиз;"Пейнтбол & Лазертаг клуб ""Штурм""";Форт № 11 «Дёнхофф»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Форт № 11 «Дёнхофф»;Северный вокзал;9.2 км;54 мин.;Велосипед;Форт № 11 «Дёнхофф»;"Пейнтбол & Лазертаг клуб ""Штурм""";Meat House / Шенфлиз;"Фитнес-центр ""Атлетика""";Блин Ланч;Суши КИМ;Парк Южный;"Таверна ""Берлога""";Дом смотрителя Высокого моста;Высокий мост;Памятник Сому;Юбилейный мост;Рыбная Деревня;Юбилейный мост;Рыбный клуб;Магия кофе;Верфь;Мадам Буше;Видовая башня Маяк;Новая Синагога;Деревянный мост;Памятный знак морякам-балтийцам;Медовый мост;Могила Иммануила Канта;;;;;;;;;;;;;;;;;;;;;;;;
Северный вокзал;Форт № 11 «Дёнхофф»;9.2 км;54 мин.;Велосипед;Северный вокзал;Mакдоналдс МакАвто;Площадь Победы;Zötler Bier;Мать-Россия;Чайхана Калининград-Ташкент;Поварёшка;Тетка Фишер;Музей Мирового океана;Кафедральный собор;Сквер на Московском проспекте;Кафедральный собор;Могила Иммануила Канта;Медовый мост;Памятный знак морякам-балтийцам;Деревянный мост;Новая Синагога;Видовая башня Маяк;Мадам Буше;Верфь;Магия кофе;Рыбный клуб;Юбилейный мост;Рыбная Деревня;;;;;;;;;;;;;;;;;;;;;;;;
Форт № 11 «Дёнхофф»;Костёл Святого Адальберта;12.7 км;1 ч 18 мин.;Велосипед;Форт № 11 «Дёнхофф»;"Пейнтбол & Лазертаг клуб ""Штурм""";Meat House / Шенфлиз;"Фитнес-центр ""Атлетика""";Блин Ланч;Суши КИМ;Парк Южный;"Таверна ""Берлога""";Дом смотрителя Высокого моста;Высокий мост;Памятник Сому;Юбилейный мост;Рыбная Деревня;Юбилейный мост;Рыбный клуб;Магия кофе;Верфь;Мадам Буше;Видовая башня Маяк;Новая Синагога;Деревянный мост;Памятный знак морякам-балтийцам;Медовый мост;Могила Иммануила Канта;;;;;;;;;;;;;;;;;;;;;;;;
Костёл Святого Адальберта;Форт № 11 «Дёнхофф»;12.7 км;1 ч 18 мин.;Велосипед;Костёл Святого Адальберта;Дворик;Бюст Эрнста Тельмана;Фитнес-клуб с бассейном Обертайх;Белый мост;Юность;"Детская площадка ""Пиратский корабль""";Фьюжн Экспресс;Амплитуда;"Башня ""Врангеля""";Паб Британника;Площадь Победы;Северный вокзал;Mакдоналдс МакАвто;Площадь Победы;Zötler Bier;Мать-Россия;Чайхана Калининград-Ташкент;Поварёшка;Тетка Фишер;Музей Мирового океана;Кафедральный собор;Сквер на Московском проспекте;Кафедральный собор;;;;;;;;;;;;;;;;;;;;;;;;
